,dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap,target_raw,target_scaled
198,5_7,4_6_4_9,45.513,48.347,47.474,57.333,-4.117,12.439,-9.966,-7.263,0.993,1.115,0.87,1.172,-0.762,-7.659,-0.17,0.42,0.0,-0.27,-0.133,0.247,-0.35,0.419,1.5,1.0,1.53,1.1,185.535,291.269,60.96,334.486,1.04,1.094,0.231,-7.776,-0.2,-0.01,-0.199,-0.259,2.25,2.7,642.238,636.378,7.014,7.89,45.513,48.347,45.513,-2.834,-9.966,-7.263,-2.703,7.014,45.513,0.6348286189356677
687,1_4,1_6_6_5,38.883,39.793,39.717,42.568,-25.089,-14.959,-23.644,-19.885,1.009,1.082,1.057,1.013,0.423,-7.678,0.06,-0.2,0.0,0.0,0.238,0.217,-0.363,-0.28,1.08,1.0,1.0,2.25,98.427,642.238,60.96,60.96,1.019,1.055,1.656,-8.44,0.06,-0.17,0.208,-0.334,1.08,1.5,98.427,185.535,8.863,9.334,38.883,39.793,38.883,-0.91,-25.089,-19.885,-5.205,8.863,38.883,-0.03234139339169268
584,4_9,4_6_2_3,36.196,29.238,35.759,33.519,-11.502,-10.725,-12.139,-17.529,0.993,1.079,1.106,1.098,0.796,-6.916,-0.17,-0.27,0.0,-0.2,0.134,0.219,-0.138,-0.262,1.5,1.0,2.25,1.53,185.535,334.486,60.96,642.238,0.875,1.066,-0.546,-8.904,-0.17,0.42,-0.127,-0.385,1.5,1.1,185.535,291.269,9.699,6.369,35.759,29.238,29.238,6.521,-12.139,-17.529,5.391,6.369,29.238,-1.0029077235421295
901,7_9,1_4_4_1,37.56,37.141,36.576,37.066,-14.676,-14.676,-25.592,-25.909,1.124,0.911,0.911,1.124,0.616,-7.666,0.06,0.06,-0.27,-0.27,0.195,0.233,0.154,0.154,1.08,1.53,1.53,1.08,98.427,98.427,334.486,334.486,0.939,1.048,-1.088,-8.015,-0.01,0.42,-0.156,-0.35,2.7,1.1,636.378,291.269,8.631,6.578,36.576,37.066,36.576,-0.49,-25.592,-25.909,0.318,6.578,36.576,-0.264492406730942
59,4_8,5_2_3_7,46.707,47.017,47.949,50.827,3.586,5.408,4.598,5.837,0.969,1.033,0.816,1.155,-0.22,-7.255,-0.2,-0.01,-0.2,0.06,-0.172,0.242,-0.093,0.447,2.25,2.25,1.08,2.7,642.238,636.378,642.238,98.427,0.873,1.087,-0.165,-8.898,-0.17,0.45,-0.122,-0.391,1.5,1.75,185.535,467.957,8.678,7.089,46.707,47.017,46.707,-0.309,3.586,5.408,-1.822,7.089,46.707,0.754979598531274
328,3_5,4_3_3_9,44.278,46.943,47.866,49.522,5.34,5.111,-10.195,-11.27,0.968,1.056,0.917,1.102,-1.27,-8.206,-0.17,0.42,0.06,0.06,-0.224,0.27,0.317,0.454,1.5,1.08,1.08,1.1,185.535,291.269,98.427,98.427,0.998,1.101,1.621,-7.471,-0.27,-0.2,0.12,-0.333,1.53,2.25,334.486,642.238,6.201,9.826,44.278,46.943,44.278,-2.665,-10.195,-11.27,1.076,6.201,44.278,0.5105518519335123
96,1_3,5_2_4_2,56.06,53.764,63.943,57.11,-0.3,-1.086,7.17,0.122,1.234,0.814,1.033,0.957,0.019,-8.007,-0.2,0.66,-0.2,-0.27,-0.521,0.306,0.445,-0.066,2.25,2.25,1.53,1.02,642.238,164.182,642.238,334.486,1.104,1.048,1.779,-7.75,0.06,-0.27,0.121,0.017,1.08,1.53,98.427,334.486,7.768,9.785,56.06,53.764,53.764,2.297,-0.3,-1.086,0.787,7.768,53.764,1.465118177263429
312,2_5,3_1_2_6,41.996,41.542,44.687,37.283,-6.091,-16.618,-6.861,-10.747,0.879,1.197,1.034,1.064,-0.14,-7.699,-0.27,0.0,0.66,-0.2,0.263,0.245,-0.296,-0.025,1.53,1.02,2.25,1.0,334.486,60.96,164.182,642.238,1.102,0.862,-0.393,-8.926,0.66,-0.2,-0.389,-0.1,1.02,2.25,164.182,642.238,8.786,7.307,41.996,37.283,37.283,4.714,-6.861,-16.618,9.758,7.307,37.283,-0.1933477312082505
974,1_3,2_1_1_8,21.446,23.587,22.892,25.577,-28.805,-24.212,-25.136,-30.837,0.942,1.023,1.039,0.897,-2.92,-9.252,0.66,0.45,0.66,0.66,-0.214,0.321,-0.082,-0.109,1.02,1.02,1.02,1.75,164.182,467.957,164.182,164.182,1.104,1.048,1.779,-7.75,0.06,-0.27,0.121,0.017,1.08,1.53,98.427,334.486,4.83,11.031,21.446,23.587,21.446,-2.141,-28.805,-30.837,2.032,4.83,21.446,-1.7870085887087652
299,4_6,5_1_6_5,36.175,37.066,37.493,39.618,-11.827,-11.826,-11.395,-10.445,0.89,1.099,1.088,1.023,-0.599,-7.893,-0.2,-0.2,0.66,0.0,-0.094,0.259,-0.195,-0.263,2.25,1.02,1.0,2.25,642.238,642.238,164.182,60.96,0.975,1.037,1.376,-8.571,-0.17,0.0,-0.226,-0.472,1.5,1.0,185.535,60.96,7.971,9.269,36.175,37.066,36.175,-0.891,-11.827,-11.826,-0.001,7.971,36.175,-0.30484462014621705
277,2_7,5_1_6_8,37.788,35.674,40.577,38.682,-4.762,-8.872,-12.602,-9.993,0.84,1.12,0.946,1.069,-1.331,-8.349,-0.2,0.45,0.66,0.0,-0.049,0.265,-0.218,-0.147,2.25,1.02,1.0,1.75,642.238,467.957,164.182,60.96,1.095,0.903,-1.149,-8.015,0.66,-0.01,-0.373,-0.136,1.02,2.7,164.182,636.378,6.684,7.199,37.788,35.674,35.674,2.114,-12.602,-9.993,-2.609,6.684,35.674,-0.35525972967502645
924,5_5,1_4_1_6,43.706,43.706,45.367,45.367,-24.692,-24.692,-26.94,-26.94,1.005,1.088,1.105,0.971,-0.825,-8.21,0.06,0.0,-0.27,0.66,0.217,0.234,0.197,-0.232,1.08,1.53,1.02,1.0,98.427,60.96,334.486,164.182,1.004,1.004,1.342,-8.123,-0.2,-0.2,-0.226,-0.226,2.25,2.25,642.238,642.238,7.298,9.551,43.706,43.706,43.706,0.0,-26.94,-26.94,0.0,7.298,43.706,0.45299208616409337
601,6_9,2_4_3_2,36.088,33.661,37.553,37.197,-14.851,-13.931,-17.804,-17.793,1.145,0.871,0.937,1.136,-1.729,-8.495,0.66,0.66,-0.27,0.06,-0.405,0.324,0.454,0.349,1.02,1.53,1.08,1.02,164.182,164.182,334.486,98.427,0.896,1.023,-0.657,-9.131,0.0,0.42,-0.355,-0.364,1.0,1.1,60.96,291.269,7.402,7.838,36.088,33.661,33.661,2.427,-17.804,-17.793,-0.011,7.402,33.661,-0.5578258284404829
439,6_6,3_1_6_9,32.941,32.941,33.64,33.64,-14.394,-14.394,-14.396,-14.396,0.806,1.224,0.903,1.066,-1.312,-7.795,-0.27,0.42,0.66,0.0,0.319,0.25,-0.327,-0.14,1.53,1.02,1.0,1.1,334.486,291.269,164.182,60.96,0.998,0.998,1.102,-9.105,0.0,0.0,-0.454,-0.454,1.0,1.0,60.96,60.96,7.794,8.897,32.941,32.941,32.941,0.0,-14.396,-14.396,0.0,7.794,32.941,-0.6302786804579337
837,8_8,3_4_6_8,31.58,31.58,32.179,32.179,-14.984,-14.984,-23.596,-23.596,0.947,1.12,0.97,1.121,-0.759,-7.182,-0.27,0.45,-0.27,0.0,0.151,0.235,0.161,-0.189,1.53,1.53,1.0,1.75,334.486,467.957,334.486,60.96,0.949,1.031,-0.671,-9.446,0.45,0.45,-0.246,-0.325,1.75,1.75,467.957,467.957,8.687,6.511,31.58,31.58,31.58,0.0,-23.596,-23.596,0.0,6.511,31.58,-0.7672346965631435
