dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap
5_8,3_2_1_3,47.944,50.757,53.195,49.643,1.526,5.248,-4.827,-0.309,1.014,1.142,1.105,1.002,0.064,-7.285,-0.27,-0.27,-0.2,0.66,0.247,0.244,-0.283,-0.123,1.53,2.25,1.02,1.53,334.486,334.486,642.238,164.182,0.871,1.076,-0.346,-8.89,-0.2,0.45,-0.115,-0.378,2.25,1.75,642.238,467.957,8.954,6.938,47.944,49.643,47.944,-1.7,-4.827,-0.309,-4.518,6.938
4_4,2_4_3_5,45.593,45.593,47.274,47.274,-9.711,-9.711,-0.396,-0.396,1.184,0.907,0.947,1.048,-0.747,-8.006,0.66,-0.2,-0.27,0.06,-0.458,0.305,0.371,0.336,1.02,1.53,1.08,2.25,164.182,642.238,334.486,98.427,1.012,1.013,1.714,-8.088,-0.17,-0.17,-0.243,-0.243,1.5,1.5,185.535,185.535,7.342,9.72,45.593,45.593,45.593,0,-9.711,-9.711,0,7.342
5_8,4_1_1_3,41.367,41.042,42.884,44.206,-0.846,1.107,-7.919,-0.434,0.881,1.211,1.117,0.936,-0.695,-7.932,-0.17,-0.27,0.66,0.66,0.278,0.25,-0.288,-0.191,1.5,1.02,1.02,1.53,185.535,334.486,164.182,164.182,0.871,1.076,-0.346,-8.89,-0.2,0.45,-0.115,-0.378,2.25,1.75,642.238,467.957,8.195,7.586,41.367,41.042,41.042,0.325,-7.919,-0.434,-7.484,7.586
3_9,5_1_6_5,44.279,43.951,46.867,47.684,-3.424,-3.565,-0.508,-0.502,0.89,1.099,1.088,1.023,-0.599,-7.893,-0.2,-0.2,0.66,0,-0.094,0.259,-0.195,-0.263,2.25,1.02,1,2.25,642.238,642.238,164.182,60.96,0.875,1.158,-0.377,-8.19,-0.27,0.42,0.224,-0.481,1.53,1.1,334.486,291.269,7.591,7.516,44.279,43.951,43.951,0.328,-3.424,-3.565,0.141,7.516
2_5,1_2_2_7,70.579,81.096,65.241,72.266,12.884,33.079,10.137,-0.541,1.103,1.094,0.994,1.053,0.27,-7.822,0.06,-0.01,-0.2,-0.2,0.232,0.221,-0.125,-0.004,1.08,2.25,2.25,2.7,98.427,636.378,642.238,642.238,1.102,0.862,-0.393,-8.926,0.66,-0.2,-0.389,-0.1,1.02,2.25,164.182,642.238,9.196,7.429,65.241,72.266,65.241,-7.025,10.137,-0.541,10.678,7.429
2_3,3_4_3_2,47.877,36.454,45.003,40.13,-5.901,-6.022,-8.711,-0.674,1.197,0.85,1.146,0.928,-0.845,-7.52,-0.27,0.66,-0.27,0.06,-0.475,0.31,0.481,0.115,1.53,1.53,1.08,1.02,334.486,164.182,334.486,98.427,1.209,0.871,0.011,-8.258,0.66,-0.27,-0.5,0.238,1.02,1.53,164.182,334.486,7.413,7.531,45.003,36.454,36.454,8.549,-8.711,-6.022,-2.689,7.413
2_7,2_3_4_7,40.218,40.09,39.449,40.822,0.124,-4.344,-3.362,-0.706,1.173,0.864,1.047,0.983,-1.42,-7.483,0.66,-0.01,0.06,-0.27,-0.448,0.314,0.476,0.24,1.02,1.08,1.53,2.7,164.182,636.378,98.427,334.486,1.095,0.903,-1.149,-8.015,0.66,-0.01,-0.373,-0.136,1.02,2.7,164.182,636.378,6.596,6.333,39.449,40.09,39.449,-0.641,-3.362,-4.344,0.982,6.333
3_7,5_1_2_1,48.052,49.482,49.421,49.361,-4.406,-5.431,-2.325,-0.726,1.044,1.078,1.103,0.943,-0.44,-8.246,-0.2,0.06,0.66,-0.2,0.258,0.23,-0.122,-0.188,2.25,1.02,2.25,1.08,642.238,98.427,164.182,642.238,0.967,1.124,0.024,-7.025,-0.27,-0.01,0.156,-0.362,1.53,2.7,334.486,636.378,6.585,8.271,48.052,49.361,48.052,-1.31,-4.406,-5.431,1.026,6.585
8_8,2_2_2_6,59.172,59.172,55.822,55.822,3.663,3.663,-0.783,-0.783,1.13,0.879,1.095,1.124,-0.393,-8.394,0.66,0,-0.2,-0.2,-0.389,0.295,0.1,-0.042,1.02,2.25,2.25,1,164.182,60.96,642.238,642.238,0.949,1.031,-0.671,-9.446,0.45,0.45,-0.246,-0.325,1.75,1.75,467.957,467.957,9.054,7.723,55.822,55.822,55.822,0,-0.783,-0.783,0,7.723
2_3,5_1_3_5,43.618,42.859,46.073,44.968,-4.059,-5.289,-1.075,-1.315,0.86,1.124,0.977,1.057,-0.826,-7.995,-0.2,-0.2,0.66,0.06,-0.063,0.267,-0.244,0.415,2.25,1.02,1.08,2.25,642.238,642.238,164.182,98.427,1.209,0.871,0.011,-8.258,0.66,-0.27,-0.5,0.238,1.02,1.53,164.182,334.486,7.432,8.006,43.618,42.859,42.859,0.759,-4.059,-5.289,1.231,7.432
