,dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap,target_raw,target_scaled
374,2_8,4_1_2_3,33.698,34.473,34.825,35.879,-11.702,-10.565,-12.601,-12.59,0.98,1.111,1.093,1.05,-0.122,-7.441,-0.17,-0.27,0.66,-0.2,0.159,0.228,-0.128,-0.193,1.5,1.02,2.25,1.53,185.535,334.486,164.182,642.238,0.99,0.949,-1.494,-9.69,0.66,0.45,-0.29,-0.26,1.02,1.75,164.182,467.957,9.568,5.946,33.698,34.473,33.698,-0.774,-12.601,-12.59,-0.011,5.946,33.698,-0.5541025568784751
469,3_5,4_6_4_8,48.384,46.462,49.542,49.216,5.967,4.791,-14.17,-15.116,1.012,1.118,0.877,1.195,-0.392,-7.64,-0.17,0.45,0.0,-0.27,-0.144,0.247,-0.345,0.417,1.5,1.0,1.53,1.75,185.535,467.957,60.96,334.486,0.998,1.101,1.621,-7.471,-0.27,-0.2,0.12,-0.333,1.53,2.25,334.486,642.238,7.079,9.261,48.384,46.462,46.462,1.921,-14.17,-15.116,0.946,7.079,46.462,0.730325503053114
967,2_8,4_4_1_6,28.204,27.231,29.703,29.254,-25.113,-22.377,-23.017,-30.392,0.995,1.055,1.097,0.968,-0.74,-7.946,-0.17,0.0,-0.27,0.66,-0.233,0.255,0.275,-0.226,1.5,1.53,1.02,1.0,185.535,60.96,334.486,164.182,0.99,0.949,-1.494,-9.69,0.66,0.45,-0.29,-0.26,1.02,1.75,164.182,467.957,8.95,6.452,28.204,27.231,27.231,0.973,-25.113,-30.392,5.279,6.452,27.231,-1.204870048540774
850,1_9,1_4_3_5,38.368,33.01,37.931,38.49,-23.068,-13.048,-18.557,-24.223,1.021,1.08,0.866,1.112,0.356,-7.787,0.06,-0.2,-0.27,0.06,0.2,0.232,0.148,0.352,1.08,1.53,1.08,2.25,98.427,642.238,334.486,98.427,0.895,1.103,-0.687,-9.217,0.06,0.42,0.317,-0.467,1.08,1.1,98.427,291.269,9.573,7.099,37.931,33.01,33.01,4.921,-23.068,-24.223,1.155,7.099,33.01,-0.6233352821395951
704,4_9,2_3_3_6,34.888,35.597,35.985,36.261,-18.575,-20.106,-19.426,-20.207,1.13,0.921,1.028,0.998,-1.3,-8.643,0.66,0.0,0.06,0.06,-0.434,0.317,0.46,0.33,1.02,1.08,1.08,1.0,164.182,60.96,98.427,98.427,0.875,1.066,-0.546,-8.904,-0.17,0.42,-0.127,-0.385,1.5,1.1,185.535,291.269,7.603,8.097,34.888,35.597,34.888,-0.709,-19.426,-20.207,0.782,7.603,34.888,-0.4343540931274105
841,2_2,1_4_6_6,25.919,25.919,29.509,29.509,-29.859,-29.859,-23.832,-23.832,1.037,1.056,1.129,1.101,0.272,-7.732,0.06,0.0,-0.27,0.0,0.181,0.226,0.184,-0.308,1.08,1.53,1.0,1.0,98.427,60.96,334.486,60.96,0.978,0.978,-1.736,-9.745,0.66,0.66,-0.268,-0.268,1.02,1.02,164.182,164.182,10.017,5.996,25.919,25.919,25.919,0.0,-29.859,-29.859,0.0,5.996,25.919,-1.3368952455503513
194,4_5,3_6_6_8,44.974,42.949,48.295,46.319,-10.114,1.696,-4.274,-7.084,0.911,1.14,0.897,1.112,-0.726,-7.323,-0.27,0.45,0.0,0.0,0.211,0.225,-0.402,-0.153,1.53,1.0,1.0,1.75,334.486,467.957,60.96,60.96,0.999,1.017,1.462,-8.094,-0.17,-0.2,-0.228,-0.241,1.5,2.25,185.535,642.238,7.368,8.785,44.974,42.949,42.949,2.024,-10.114,-7.084,-3.03,7.368,42.949,0.376815962584634
854,2_8,1_3_3_5,34.076,34.197,34.228,35.001,-12.255,-19.44,-25.206,-24.379,1.037,1.035,0.996,1.036,0.112,-8.116,0.06,-0.2,0.06,0.06,0.182,0.24,0.261,0.338,1.08,1.08,1.08,2.25,98.427,642.238,98.427,98.427,0.99,0.949,-1.494,-9.69,0.66,0.45,-0.29,-0.26,1.02,1.75,164.182,467.957,9.803,6.622,34.076,34.197,34.076,-0.121,-25.206,-24.379,-0.827,6.622,34.076,-0.5160648095693133
864,1_5,1_4_1_4,38.012,40.844,39.325,43.583,-29.872,-15.047,-22.419,-24.66,1.039,1.08,1.123,0.934,-0.556,-8.018,0.06,-0.17,-0.27,0.66,0.204,0.232,0.207,-0.249,1.08,1.53,1.02,1.5,98.427,185.535,334.486,164.182,1.011,1.054,1.418,-8.429,0.06,-0.2,0.22,-0.329,1.08,2.25,98.427,642.238,7.873,9.436,38.012,40.844,38.012,-2.832,-29.872,-24.66,-5.212,7.873,38.012,-0.11998921854058148
503,2_9,4_1_1_1,33.213,33.87,33.639,32.764,-13.3,-14.781,-14.801,-15.783,0.92,1.154,1.135,0.887,-0.955,-8.682,-0.17,0.06,0.66,0.66,0.374,0.252,-0.27,-0.201,1.5,1.02,1.02,1.08,185.535,98.427,164.182,164.182,0.993,0.929,-1.74,-9.532,0.66,0.42,-0.296,-0.254,1.02,1.1,164.182,291.269,8.577,6.942,33.213,32.764,32.764,0.45,-14.801,-15.783,0.982,6.942,32.764,-0.6480900065788904
