dienophile,diene,ΔG TS_endo_1,ΔG TS_endo_2,ΔG TS_exo_1,ΔG TS_exo_2,ΔG Product_endo_1,ΔG Product_endo_2,ΔG Product_exo_1,ΔG Product_exo_2,pz_pop_C1_D,pz_pop_C2_D,pz_pop_C3_D,pz_pop_C4_D,LUMO_D,HOMO_D,Sigma p_1_D,Sigma p_4_D,Sigma p_2_D,Sigma p_3_D,NBO_1_D,NBO_2_D,NBO_3_D,NBO_4_D,sterio_D_1,sterio_D_2,sterio_D_3,sterio_D_4,Volume_D_1,Volume_D_4,Volume_D_2,Volume_D_3,pz_pop_C1_dPh,pz_pop_C2_dPh,LUMO_dPh,HOMO_dPh,Sigma_P_1dPh,Sigma_P_2dPh,NBO_1dPh,NBO_2_dPh,sterio_dPh_1,sterio_dPh_2,Volume_dPh_1,Volume_dPh_2,LUMO_D - HOMO_dPh,LUMO_dPh - HOMO_D,Min(TS_1),Min(TS_2),Min_TSـall,Min(TS_1) - Min(TS_2),Min(Product_1),Min(Product_2),Min(Product_1) - Min(Product_2),min_gap
1_6,1_4_6_9,33.176,34.646,34.383,35.309,-28.872,-28.343,-30.353,-29.518,0.985,1.074,1.034,1.115,-1.136,-7.971,0.06,0.42,-0.27,0.0,0.231,0.233,0.169,-0.202,1.08,1.53,1.0,1.1,98.427,291.269,334.486,60.96,0.983,1.082,1.33,-8.949,0.06,0.0,0.223,-0.568,1.08,1.0,98.427,60.96,7.813,9.301,33.176,34.646,33.176,-1.469,-30.353,-29.518,-0.835,7.813
1_7,1_1_3_8,32.784,30.469,33.674,31.082,-28.015,-26.143,-28.798,-29.528,0.826,1.184,0.935,1.108,-1.54,-8.644,0.06,0.45,0.66,0.06,0.415,0.258,-0.342,0.516,1.08,1.02,1.08,1.75,98.427,467.957,164.182,98.427,0.988,1.077,-0.192,-7.615,0.06,-0.01,0.249,-0.355,1.08,2.7,98.427,636.378,6.075,8.452,32.784,30.469,30.469,2.315,-28.798,-29.528,0.73,6.075
5_6,1_4_1_1,35.232,34.001,35.663,34.159,-25.158,-25.114,-30.03,-29.589,0.964,1.146,1.088,1.032,-0.678,-8.258,0.06,0.06,-0.27,0.66,0.373,0.252,-0.323,0.204,1.08,1.53,1.02,1.08,98.427,98.427,334.486,164.182,0.973,1.035,1.346,-8.569,-0.2,0.0,-0.219,-0.469,2.25,1.0,642.238,60.96,7.89,9.605,35.232,34.001,34.001,1.231,-30.03,-29.589,-0.441,7.89
1_3,1_1_1_8,30.246,25.09,31.484,26.141,-27.337,-23.969,-24.285,-29.614,0.906,1.164,1.027,0.959,-2.008,-9.091,0.06,0.45,0.66,0.66,0.402,0.258,-0.278,-0.092,1.08,1.02,1.02,1.75,98.427,467.957,164.182,164.182,1.104,1.048,1.779,-7.75,0.06,-0.27,0.121,0.017,1.08,1.53,98.427,334.486,5.742,10.87,30.246,25.09,25.09,5.155,-27.337,-29.614,2.277,5.742
4_8,1_4_4_1,37.112,37.108,37.345,36.098,-18.717,-17.968,-30.46,-29.629,1.124,0.911,0.911,1.124,0.616,-7.666,0.06,0.06,-0.27,-0.27,0.195,0.233,0.154,0.154,1.08,1.53,1.53,1.08,98.427,98.427,334.486,334.486,0.873,1.087,-0.165,-8.898,-0.17,0.45,-0.122,-0.391,1.5,1.75,185.535,467.957,9.514,7.501,37.112,36.098,36.098,1.014,-30.46,-29.629,-0.832,7.501
1_6,1_6_6_4,33.638,33.753,34.41,34.74,-30.556,-28.124,-27.429,-29.682,1.008,1.083,1.058,1.012,0.415,-7.671,0.06,-0.17,0.0,0.0,0.239,0.217,-0.367,-0.283,1.08,1.0,1.0,1.5,98.427,185.535,60.96,60.96,0.983,1.082,1.33,-8.949,0.06,0.0,0.223,-0.568,1.08,1.0,98.427,60.96,9.364,9.001,33.638,33.753,33.638,-0.115,-30.556,-29.682,-0.874,9.001
6_8,1_4_3_3,32.874,28.782,31.817,31.201,-18.655,-18.365,-28.728,-29.716,1.026,1.068,0.945,1.072,0.6,-7.451,0.06,-0.27,-0.27,0.06,0.187,0.231,0.146,0.262,1.08,1.53,1.08,1.53,98.427,334.486,334.486,98.427,0.895,1.043,-0.348,-9.411,0.0,0.45,-0.35,-0.368,1.0,1.75,60.96,467.957,10.011,7.103,31.817,28.782,28.782,3.034,-28.728,-29.716,0.988,7.103
9_9,6_3_1_9,28.311,28.311,29.32,29.32,-27.839,-27.839,-29.763,-29.763,1.011,1.011,1.022,0.926,-2.192,-8.77,0.0,0.42,0.06,0.66,-0.466,0.262,0.395,-0.159,1.0,1.08,1.02,1.1,60.96,291.269,98.427,164.182,0.947,0.946,-1.736,-9.188,0.42,0.42,-0.281,-0.281,1.1,1.1,291.269,291.269,6.997,7.034,28.311,28.311,28.311,0.0,-29.763,-29.763,0.0,6.997
1_4,4_6_4_1,38.208,37.452,39.423,38.906,-19.609,-29.487,-28.154,-29.765,1.048,1.053,1.145,1.101,0.529,-7.533,-0.17,0.06,0.0,-0.27,0.17,0.225,0.194,-0.324,1.5,1.0,1.53,1.08,185.535,98.427,60.96,334.486,1.019,1.055,1.656,-8.44,0.06,-0.17,0.208,-0.334,1.08,1.5,98.427,185.535,8.969,9.189,38.208,37.452,37.452,0.756,-28.154,-29.765,1.612,8.969
3_4,1_6_4_1,38.755,38.209,37.911,39.177,-25.973,-26.953,-29.355,-29.794,1.038,1.062,1.174,1.089,0.524,-7.763,0.06,0.06,0.0,-0.27,0.173,0.227,0.192,-0.408,1.08,1.0,1.53,1.08,98.427,98.427,60.96,334.486,1.007,1.095,1.831,-7.467,-0.27,-0.17,0.106,-0.335,1.53,1.5,334.486,185.535,7.991,9.594,37.911,38.209,37.911,-0.299,-29.355,-29.794,0.439,7.991
