#{"t_start": 1768248100.72864, "env_id": "DielsAlderReact-v0"}
r,l,t
0.04163,20,5.064157
0.043587,20,5.078557
0.043257,20,5.092783
0.043122,20,5.107063
0.04163,20,5.121062
0.044248,20,5.182919
0.04163,20,5.197137
0.043989,20,5.211234
0.043958,20,5.225034
0.043213,20,5.23977
0.044051,20,5.253811
0.04163,20,5.268276
0.041972,20,5.284195
0.041726,20,5.299598
0.005839,20,5.304474
0.042509,20,5.320635
0.04163,20,5.335661
0.043954,20,5.349338
0.042403,20,5.402525
0.04163,20,5.417223
0.04239,20,5.431863
0.042669,20,5.446507
0.044093,20,5.461308
0.04274,20,5.475232
0.043431,20,5.48979
0.042942,20,5.504579
0.043183,20,5.518861
0.043792,20,5.532176
0.042135,20,5.546346
0.04163,20,5.560746
0.044097,20,5.575107
0.043935,20,5.627621
0.04163,20,5.641638
0.041649,20,5.656223
0.044208,20,5.670546
0.043657,20,5.684776
0.042035,20,5.698701
0.04163,20,5.712842
0.043138,20,5.727132
0.043971,20,5.741507
0.042403,20,5.755172
0.04292,20,5.769462
0.043284,20,5.783919
0.043304,20,5.79818
0.04163,20,5.849167
0.001724,20,5.853738
0.042301,20,5.86777
0.001732,20,5.872191
0.04163,20,5.88644
0.043927,20,5.901077
0.044026,20,5.915023
0.04308,20,5.929167
0.043563,20,5.943334
0.04163,20,5.957318
0.043508,20,5.970746
0.041937,20,5.984548
0.043323,20,5.998506
0.04163,20,6.049766
0.043316,20,6.064
0.044296,20,6.08005
0.042386,20,6.094345
0.044115,20,6.108105
0.044044,20,6.122239
0.043252,20,6.13756
0.042103,20,6.153523
0.042099,20,6.167808
0.041768,20,6.182015
0.04163,20,6.196718
0.041919,20,6.210827
0.04163,20,6.263229
0.042655,20,6.277334
0.04163,20,6.291935
0.03585,20,6.29638
0.04163,20,6.310719
0.04163,20,6.325105
0.04163,20,6.339344
0.043982,20,6.353128
0.043209,20,6.367359
0.042344,20,6.381349
0.04163,20,6.395702
0.04163,20,6.409982
0.042146,20,6.423843
0.043213,20,6.476095
0.043434,20,6.490444
0.003677,20,6.494967
0.042049,20,6.509114
0.04163,20,6.523189
0.04244,20,6.53755
0.041836,20,6.551537
0.042552,20,6.565476
0.04408,20,6.579644
0.042921,20,6.594873
0.044058,20,6.608981
0.042116,20,6.623405
0.044187,20,6.637328
0.04163,20,6.68937
0.042593,20,6.70483
0.042873,20,6.719246
0.04163,20,6.733465
0.042309,20,6.748095
0.04163,20,6.762308
0.042822,20,6.776753
0.043074,20,6.791349
0.04163,20,6.805918
0.043833,20,6.820479
0.043794,20,6.83467
